state,x,y,solvedness
"[4, 1, 4, 0, 0, 5, 2, 0, 3, 1, 1, 5, 4, 1, 1, 5, 2, 5, 3, 1, 1, 0, 2, 4, 0, 2, 0, 2, 3, 1, 3, 3, 2, 0, 3, 2, 4, 0, 3, 5, 4, 4, 5, 4, 4, 0, 5, 2, 3, 5, 2, 3, 5, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-16.984125,72.256004,0.3888888888888889
"[0, 0, 1, 0, 0, 1, 5, 0, 1, 3, 4, 4, 3, 1, 1, 4, 1, 1, 2, 5, 0, 4, 2, 2, 5, 2, 2, 4, 3, 3, 1, 3, 3, 1, 0, 0, 2, 2, 3, 4, 4, 3, 4, 4, 3, 5, 5, 2, 5, 5, 2, 5, 5, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",82.504684,76.20538,0.5185185185185185
"[4, 5, 4, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 0, 0, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 5, 4, 4, 4, 4, 4, 4, 0, 4, 2, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",90.67713,90.69414,0.7777777777777778
"[4, 0, 1, 0, 0, 5, 0, 0, 1, 1, 1, 0, 1, 1, 4, 0, 0, 0, 5, 2, 3, 1, 2, 2, 5, 2, 2, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 1, 2, 4, 4, 4, 4, 4, 4, 1, 2, 2, 5, 5, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50.55719,90.30593,0.6296296296296297
"[1, 2, 2, 0, 0, 1, 3, 0, 1, 0, 4, 4, 1, 1, 2, 1, 4, 0, 4, 1, 1, 5, 2, 2, 5, 2, 2, 4, 3, 3, 3, 3, 3, 5, 1, 2, 5, 0, 3, 4, 4, 3, 4, 4, 3, 5, 5, 2, 5, 5, 5, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-1.2387279,57.78596,0.4444444444444444
"[3, 1, 4, 5, 0, 0, 1, 0, 1, 0, 2, 5, 5, 1, 4, 5, 4, 1, 3, 1, 2, 1, 2, 2, 5, 2, 2, 4, 3, 3, 3, 3, 3, 2, 3, 3, 4, 5, 0, 4, 4, 2, 4, 4, 0, 1, 1, 5, 0, 5, 0, 2, 5, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-50.535397,2.565602,0.46296296296296297
"[1, 1, 0, 1, 0, 0, 4, 0, 0, 2, 4, 4, 2, 1, 1, 1, 4, 4, 2, 2, 2, 2, 2, 2, 2, 1, 1, 3, 0, 5, 3, 3, 3, 1, 0, 0, 3, 4, 3, 3, 4, 3, 0, 4, 3, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",92.07112,78.40742,0.5555555555555556
"[5, 5, 4, 0, 0, 5, 2, 0, 3, 0, 2, 5, 4, 1, 4, 1, 1, 1, 5, 5, 2, 0, 2, 2, 0, 2, 2, 2, 3, 3, 3, 3, 3, 0, 3, 0, 4, 1, 4, 4, 4, 0, 4, 4, 3, 3, 1, 1, 1, 5, 2, 5, 5, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-34.55167,46.551704,0.5
"[2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 2, 5, 4, 4, 4, 4, 4, 4, 0, 5, 0, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",92.53664,90.13707,0.8148148148148148
"[5, 1, 1, 3, 0, 3, 0, 2, 0, 4, 1, 4, 5, 1, 2, 0, 4, 0, 5, 5, 3, 4, 2, 2, 3, 4, 4, 5, 1, 2, 3, 3, 3, 1, 5, 2, 2, 4, 5, 0, 4, 2, 3, 5, 1, 1, 0, 3, 1, 5, 0, 4, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-3.8082647,3.087755,0.24074074074074073
